sentence,step,n_pairs,n_admitted,top_span,is_gold
"this curious tall curious book chased the apple",1,6,6,"(6, 7)",1
"this curious tall curious book chased the apple",2,5,5,"(6, 7)",1
"this curious tall curious book chased the apple",3,4,4,"(6, 7)",1
"this curious tall curious book chased the apple",4,3,3,"(6, 7)",1
"this curious tall curious book chased the apple",5,2,2,"(0, 5)",1
"this curious tall curious book chased the apple",6,1,1,"(0, 7)",1
"that tall curious apple carried this curious blue tall boy",0,9,9,"(1, 2)",1
"that tall curious apple carried this curious blue tall boy",1,8,8,"(7, 8)",1
"that tall curious apple carried this curious blue tall boy",2,7,7,"(0, 3)",1
"that tall curious apple carried this curious blue tall boy",3,6,6,"(7, 8)",1
"that tall curious apple carried this curious blue tall boy",4,5,5,"(6, 8)",1
"that tall curious apple carried this curious blue tall boy",5,4,4,"(6, 9)",1
"that tall curious apple carried this curious blue tall boy",6,3,3,"(5, 9)",1
"that tall curious apple carried this curious blue tall boy",7,2,2,"(0, 4)",1
"that tall curious apple carried this curious blue tall boy",8,1,1,"(0, 9)",1
"a book chased a curious ancient ancient teacher",0,7,7,"(0, 1)",1
"a book chased a curious ancient ancient teacher",1,6,6,"(5, 6)",1
"a book chased a curious ancient ancient teacher",2,5,5,"(5, 7)",0
"a book chased a curious ancient ancient teacher",3,4,4,"(3, 6)",0
"a book chased a curious ancient ancient teacher",4,3,3,"(3, 7)",1
"a book chased a curious ancient ancient teacher",5,2,2,"(0, 2)",1
"a book chased a curious ancient ancient teacher",6,1,1,"(0, 7)",1
"this tall tall girl read with that blue ancient girl",0,9,9,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",1,8,8,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",2,7,7,"(0, 3)",1
"this tall tall girl read with that blue ancient girl",3,6,6,"(7, 8)",1
"this tall tall girl read with that blue ancient girl",4,5,5,"(7, 9)",1
"this tall tall girl read with that blue ancient girl",5,4,4,"(6, 9)",1
"this tall tall girl read with that blue ancient girl",6,3,3,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",7,2,2,"(0, 4)",1
"this tall tall girl read with that blue ancient girl",8,1,1,"(0, 9)",1
"the ancient curious robot liked this teacher",0,6,6,"(5, 6)",1
"the ancient curious robot liked this teacher",1,5,5,"(5, 6)",1
"the ancient curious robot liked this teacher",2,4,4,"(0, 3)",1
"the ancient curious robot liked this teacher",3,3,3,"(5, 6)",1
"the ancient curious robot liked this teacher",4,2,2,"(0, 4)",1
"the ancient curious robot liked this teacher",5,1,1,"(0, 6)",1
"the teacher read this boy",0,4,4,"(3, 4)",1
"the teacher read this boy",1,3,3,"(3, 4)",1
"the teacher read this boy",2,2,2,"(0, 2)",1
"the teacher read this boy",3,1,1,"(0, 4)",1
"that teacher read this apple",0,4,4,"(0, 1)",1
"that teacher read this apple",1,3,3,"(3, 4)",1
"that teacher read this apple",2,2,2,"(0, 2)",1
"that teacher read this apple",3,1,1,"(0, 4)",1
"a ancient tall girl saw this teacher",0,6,6,"(5, 6)",1
"a ancient tall girl saw this teacher",1,5,5,"(5, 6)",1
"a ancient tall girl saw this teacher",2,4,4,"(0, 3)",1
"a ancient tall girl saw this teacher",3,3,3,"(5, 6)",1
"a ancient tall girl saw this teacher",4,2,2,"(0, 4)",1
"a ancient tall girl saw this teacher",5,1,1,"(0, 6)",1
"the robot admired near this apple",0,5,5,"(4, 5)",1
"the robot admired near this apple",1,4,4,"(4, 5)",1
"the robot admired near this apple",2,3,3,"(3, 5)",1
"the robot admired near this apple",3,2,2,"(0, 2)",1
"the robot admired near this apple",4,1,1,"(0, 5)",1
"the blue tall boy chased the boy",0,6,6,"(5, 6)",1
"the blue tall boy chased the boy",1,5,5,"(5, 6)",1
"the blue tall boy chased the boy",2,4,4,"(5, 6)",1
"the blue tall boy chased the boy",3,3,3,"(5, 6)",1
"the blue tall boy chased the boy",4,2,2,"(0, 4)",1
"the blue tall boy chased the boy",5,1,1,"(0, 6)",1
"this teacher read without the teacher",0,5,5,"(0, 1)",1
"this teacher read without the teacher",1,4,4,"(4, 5)",1
"this teacher read without the teacher",2,3,3,"(3, 5)",1
"this teacher read without the teacher",3,2,2,"(0, 2)",1
"this teacher read without the teacher",4,1,1,"(0, 5)",1
"that ancient tall book carried a boy",0,6,6,"(5, 6)",1
"that ancient tall book carried a boy",1,5,5,"(5, 6)",1
"that ancient tall book carried a boy",2,4,4,"(0, 3)",1
"that ancient tall book carried a boy",3,3,3,"(5, 6)",1
"that ancient tall book carried a boy",4,2,2,"(0, 4)",1
"that ancient tall book carried a boy",5,1,1,"(0, 6)",1
"a boy saw that tall blue friendly apple",0,7,7,"(0, 1)",1
"a boy saw that tall blue friendly apple",1,6,6,"(4, 5)",0
"a boy saw that tall blue friendly apple",2,5,5,"(5, 7)",0
"a boy saw that tall blue friendly apple",3,4,4,"(4, 7)",1
"a boy saw that tall blue friendly apple",4,3,3,"(3, 7)",1
"a boy saw that tall blue friendly apple",5,2,2,"(0, 2)",1
"a boy saw that tall blue friendly apple",6,1,1,"(0, 7)",1
"a book saw near this apple",0,5,5,"(4, 5)",1
"a book saw near this apple",1,4,4,"(4, 5)",1
"a book saw near this apple",2,3,3,"(0, 2)",1
"a book saw near this apple",3,2,2,"(0, 2)",1
"a book saw near this apple",4,1,1,"(0, 5)",1
"that girl liked without this girl",0,5,5,"(0, 1)",1
"that girl liked without this girl",1,4,4,"(4, 5)",1
"that girl liked without this girl",2,3,3,"(3, 5)",1
"that girl liked without this girl",3,2,2,"(0, 2)",1
"that girl liked without this girl",4,1,1,"(0, 5)",1
"a teacher saw that girl",0,4,4,"(0, 1)",1
"a teacher saw that girl",1,3,3,"(3, 4)",1
"a teacher saw that girl",2,2,2,"(0, 2)",1
"a teacher saw that girl",3,1,1,"(0, 4)",1
"that curious friendly friendly book liked without the book",0,8,8,"(2, 3)",1
"that curious friendly friendly book liked without the book",1,7,7,"(1, 3)",1
"that curious friendly friendly book liked without the book",2,6,6,"(1, 4)",1
"that curious friendly friendly book liked without the book",3,5,5,"(0, 4)",1
"that curious friendly friendly book liked without the book",4,4,4,"(6, 7)",0
"that curious friendly friendly book liked without the book",5,3,3,"(6, 8)",1
"that curious friendly friendly book liked without the book",6,2,2,"(0, 5)",1
"that curious friendly friendly book liked without the book",7,1,1,"(0, 8)",1
"that book read this blue friendly tall boy",0,7,7,"(0, 1)",1
"that book read this blue friendly tall boy",1,6,6,"(4, 5)",0
"that book read this blue friendly tall boy",2,5,5,"(4, 6)",1
"that book read this blue friendly tall boy",3,4,4,"(4, 7)",1
"that book read this blue friendly tall boy",4,3,3,"(3, 7)",1
"that book read this blue friendly tall boy",5,2,2,"(0, 2)",1
"that book read this blue friendly tall boy",6,1,1,"(0, 7)",1
"that book liked that blue friendly robot",0,6,6,"(0, 1)",1
"that book liked that blue friendly robot",1,5,5,"(4, 5)",1
"that book liked that blue friendly robot",2,4,4,"(4, 6)",1
"that book liked that blue friendly robot",3,3,3,"(3, 6)",1
"that book liked that blue friendly robot",4,2,2,"(0, 2)",1
"that book liked that blue friendly robot",5,1,1,"(0, 6)",1
"that apple saw this boy",0,4,4,"(0, 1)",1
"that apple saw this boy",1,3,3,"(3, 4)",1
"that apple saw this boy",2,2,2,"(0, 2)",1
"that apple saw this boy",3,1,1,"(0, 4)",1
"this blue blue apple liked a blue curious ancient robot",0,9,9,"(1, 2)",1
"this blue blue apple liked a blue curious ancient robot",1,8,8,"(7, 8)",1
"this blue blue apple liked a blue curious ancient robot",2,7,7,"(0, 3)",1
"this blue blue apple liked a blue curious ancient robot",3,6,6,"(7, 8)",1
"this blue blue apple liked a blue curious ancient robot",4,5,5,"(7, 9)",0
"this blue blue apple liked a blue curious ancient robot",5,4,4,"(6, 9)",1
"this blue blue apple liked a blue curious ancient robot",6,3,3,"(5, 9)",1
"this blue blue apple liked a blue curious ancient robot",7,2,2,"(0, 4)",1
"this blue blue apple liked a blue curious ancient robot",8,1,1,"(0, 9)",1
"that boy saw this book",0,4,4,"(0, 1)",1
"that boy saw this book",1,3,3,"(3, 4)",1
"that boy saw this book",2,2,2,"(0, 2)",1
"that boy saw this book",3,1,1,"(0, 4)",1
"this book read without a book",0,5,5,"(4, 5)",1
"this book read without a book",1,4,4,"(4, 5)",1
"this book read without a book",2,3,3,"(3, 5)",1
"this book read without a book",3,2,2,"(0, 2)",1
"this book read without a book",4,1,1,"(0, 5)",1
"a boy liked with that book",0,5,5,"(4, 5)",1
"a boy liked with that book",1,4,4,"(4, 5)",1
"a boy liked with that book",2,3,3,"(3, 5)",1
"a boy liked with that book",3,2,2,"(0, 2)",1
"a boy liked with that book",4,1,1,"(0, 5)",1
"the girl liked with that blue friendly curious teacher",0,8,8,"(0, 1)",1
"the girl liked with that blue friendly curious teacher",1,7,7,"(5, 6)",0
"the girl liked with that blue friendly curious teacher",2,6,6,"(5, 7)",1
"the girl liked with that blue friendly curious teacher",3,5,5,"(5, 8)",1
"the girl liked with that blue friendly curious teacher",4,4,4,"(4, 8)",1
"the girl liked with that blue friendly curious teacher",5,3,3,"(3, 8)",1
"the girl liked with that blue friendly curious teacher",6,2,2,"(0, 2)",1
"the girl liked with that blue friendly curious teacher",7,1,1,"(0, 8)",1
"a boy read the friendly blue friendly ancient boy",0,8,8,"(0, 1)",1
"a boy read the friendly blue friendly ancient boy",1,7,7,"(3, 4)",0
"a boy read the friendly blue friendly ancient boy",2,6,6,"(3, 4)",0
"a boy read the friendly blue friendly ancient boy",3,5,5,"(4, 7)",1
"a boy read the friendly blue friendly ancient boy",4,4,4,"(4, 8)",1
"a boy read the friendly blue friendly ancient boy",5,3,3,"(3, 8)",1
"a boy read the friendly blue friendly ancient boy",6,2,2,"(0, 2)",1
"a boy read the friendly blue friendly ancient boy",7,1,1,"(0, 8)",1
"the book admired near the girl",0,5,5,"(0, 1)",1
"the book admired near the girl",1,4,4,"(4, 5)",1
"the book admired near the girl",2,3,3,"(3, 5)",1
"the book admired near the girl",3,2,2,"(0, 2)",1
"the book admired near the girl",4,1,1,"(0, 5)",1
"a girl saw near the book",0,5,5,"(0, 1)",1
"a girl saw near the book",1,4,4,"(4, 5)",1
"a girl saw near the book",2,3,3,"(3, 5)",1
"a girl saw near the book",3,2,2,"(0, 2)",1
"a girl saw near the book",4,1,1,"(0, 5)",1
"that tall friendly boy chased that tall curious book",0,8,8,"(1, 2)",1
"that tall friendly boy chased that tall curious book",1,7,7,"(6, 7)",1
"that tall friendly boy chased that tall curious book",2,6,6,"(0, 3)",1
"that tall friendly boy chased that tall curious book",3,5,5,"(6, 7)",1
"that tall friendly boy chased that tall curious book",4,4,4,"(6, 8)",1
"that tall friendly boy chased that tall curious book",5,3,3,"(5, 8)",1
"that tall friendly boy chased that tall curious book",6,2,2,"(0, 4)",1
"that tall friendly boy chased that tall curious book",7,1,1,"(0, 8)",1
"the blue blue book saw the teacher",0,6,6,"(5, 6)",1
"the blue blue book saw the teacher",1,5,5,"(5, 6)",1
"the blue blue book saw the teacher",2,4,4,"(0, 3)",1
"the blue blue book saw the teacher",3,3,3,"(5, 6)",1
"the blue blue book saw the teacher",4,2,2,"(0, 4)",1
"the blue blue book saw the teacher",5,1,1,"(0, 6)",1
"this blue curious robot carried with that boy",0,7,7,"(6, 7)",1
"this blue curious robot carried with that boy",1,6,6,"(6, 7)",1
"this blue curious robot carried with that boy",2,5,5,"(0, 3)",1
"this blue curious robot carried with that boy",3,4,4,"(6, 7)",1
"this blue curious robot carried with that boy",4,3,3,"(5, 7)",1
"this blue curious robot carried with that boy",5,2,2,"(0, 4)",1
"this blue curious robot carried with that boy",6,1,1,"(0, 7)",1
"this curious blue book read without the teacher",0,7,7,"(6, 7)",1
"this curious blue book read without the teacher",1,6,6,"(6, 7)",1
"this curious blue book read without the teacher",2,5,5,"(6, 7)",1
"this curious blue book read without the teacher",3,4,4,"(6, 7)",1
"this curious blue book read without the teacher",4,3,3,"(5, 7)",1
"this curious blue book read without the teacher",5,2,2,"(0, 4)",1
"this curious blue book read without the teacher",6,1,1,"(0, 7)",1
"that boy liked a boy near a book",0,7,7,"(0, 1)",1
"that boy liked a boy near a book",1,6,6,"(3, 4)",1
"that boy liked a boy near a book",2,5,5,"(6, 7)",1
"that boy liked a boy near a book",3,4,4,"(0, 2)",1
"that boy liked a boy near a book",4,3,3,"(0, 2)",1
"that boy liked a boy near a book",5,2,2,"(0, 4)",1
"that boy liked a boy near a book",6,1,1,"(0, 7)",1
"that curious ancient teacher read near this boy",0,7,7,"(6, 7)",1
"that curious ancient teacher read near this boy",1,6,6,"(6, 7)",1
"that curious ancient teacher read near this boy",2,5,5,"(6, 7)",1
"that curious ancient teacher read near this boy",3,4,4,"(6, 7)",1
"that curious ancient teacher read near this boy",4,3,3,"(5, 7)",1
"that curious ancient teacher read near this boy",5,2,2,"(0, 4)",1
"that curious ancient teacher read near this boy",6,1,1,"(0, 7)",1
"that curious friendly curious book saw near the teacher",0,8,8,"(7, 8)",1
"that curious friendly curious book saw near the teacher",1,7,7,"(7, 8)",1
"that curious friendly curious book saw near the teacher",2,6,6,"(7, 8)",1
"that curious friendly curious book saw near the teacher",3,5,5,"(7, 8)",1
"that curious friendly curious book saw near the teacher",4,4,4,"(7, 8)",1
"that curious friendly curious book saw near the teacher",5,3,3,"(0, 5)",1
"that curious friendly curious book saw near the teacher",6,2,2,"(0, 5)",1
"that curious friendly curious book saw near the teacher",7,1,1,"(0, 8)",1
"the book that read without a boy read this boy",0,9,9,"(8, 9)",1
"the book that read without a boy read this boy",1,8,8,"(8, 9)",1
"the book that read without a boy read this boy",2,7,7,"(8, 9)",1
"the book that read without a boy read this boy",3,6,6,"(8, 9)",1
"the book that read without a boy read this boy",4,5,5,"(8, 9)",1
"the book that read without a boy read this boy",5,4,4,"(8, 9)",1
"the book that read without a boy read this boy",6,3,3,"(8, 9)",1
"the book that read without a boy read this boy",7,2,2,"(7, 9)",0
"the book that read without a boy read this boy",8,1,1,"(0, 9)",1
"that book saw the ancient ancient teacher",0,6,6,"(0, 1)",1
"that book saw the ancient ancient teacher",1,5,5,"(4, 5)",1
"that book saw the ancient ancient teacher",2,4,4,"(4, 6)",1
"that book saw the ancient ancient teacher",3,3,3,"(3, 6)",1
"that book saw the ancient ancient teacher",4,2,2,"(0, 2)",1
"that book saw the ancient ancient teacher",5,1,1,"(0, 6)",1
"a girl chased with this teacher that admired this book",0,9,9,"(0, 1)",1
"a girl chased with this teacher that admired this book",1,8,8,"(4, 5)",0
"a girl chased with this teacher that admired this book",2,7,7,"(4, 5)",0
"a girl chased with this teacher that admired this book",3,6,6,"(4, 5)",0
"a girl chased with this teacher that admired this book",4,5,5,"(4, 5)",0
"a girl chased with this teacher that admired this book",5,4,4,"(4, 9)",1
"a girl chased with this teacher that admired this book",6,3,3,"(3, 9)",1
"a girl chased with this teacher that admired this book",7,2,2,"(0, 2)",1
"a girl chased with this teacher that admired this book",8,1,1,"(0, 9)",1
"that friendly ancient book read a ancient blue boy",0,8,8,"(1, 2)",1
"that friendly ancient book read a ancient blue boy",1,7,7,"(1, 3)",1
"that friendly ancient book read a ancient blue boy",2,6,6,"(6, 7)",1
"that friendly ancient book read a ancient blue boy",3,5,5,"(6, 7)",1
"that friendly ancient book read a ancient blue boy",4,4,4,"(5, 7)",0
"that friendly ancient book read a ancient blue boy",5,3,3,"(5, 8)",1
"that friendly ancient book read a ancient blue boy",6,2,2,"(0, 4)",1
"that friendly ancient book read a ancient blue boy",7,1,1,"(0, 8)",1
"a blue curious boy liked that girl",0,6,6,"(5, 6)",1
"a blue curious boy liked that girl",1,5,5,"(5, 6)",1
"a blue curious boy liked that girl",2,4,4,"(5, 6)",1
"a blue curious boy liked that girl",3,3,3,"(5, 6)",1
"a blue curious boy liked that girl",4,2,2,"(0, 4)",1
"a blue curious boy liked that girl",5,1,1,"(0, 6)",1
"a blue ancient book read this robot",0,6,6,"(5, 6)",1
"a blue ancient book read this robot",1,5,5,"(5, 6)",1
"a blue ancient book read this robot",2,4,4,"(5, 6)",1
"a blue ancient book read this robot",3,3,3,"(5, 6)",1
"a blue ancient book read this robot",4,2,2,"(4, 6)",0
"a blue ancient book read this robot",5,1,1,"(0, 6)",1
"that boy read a apple near the book",0,7,7,"(0, 1)",1
"that boy read a apple near the book",1,6,6,"(3, 4)",1
"that boy read a apple near the book",2,5,5,"(6, 7)",1
"that boy read a apple near the book",3,4,4,"(5, 7)",1
"that boy read a apple near the book",4,3,3,"(0, 2)",1
"that boy read a apple near the book",5,2,2,"(0, 4)",1
"that boy read a apple near the book",6,1,1,"(0, 7)",1
"a tall blue girl chased that boy with that robot",0,9,9,"(1, 2)",1
