sentence,step,n_pairs,n_admitted,top_span,is_gold
"a man likes a man",3,1,1,"(0, 4)",1
"the dog runs a cat",0,4,4,"(3, 4)",1
"the dog runs a cat",1,3,3,"(3, 4)",1
"the dog runs a cat",2,2,2,"(0, 2)",1
"the dog runs a cat",3,1,1,"(0, 4)",1
"a woman chases a man",0,4,4,"(0, 1)",1
"a woman chases a man",1,3,3,"(3, 4)",1
"a woman chases a man",2,2,2,"(0, 2)",1
"a woman chases a man",3,1,1,"(0, 4)",1
"a woman runs a cat",0,4,4,"(0, 1)",1
"a woman runs a cat",1,3,3,"(3, 4)",1
"a woman runs a cat",2,2,2,"(0, 2)",1
"a woman runs a cat",3,1,1,"(0, 4)",1
"a man sees a cat",0,4,4,"(3, 4)",1
"a man sees a cat",1,3,3,"(3, 4)",1
"a man sees a cat",2,2,2,"(0, 2)",1
"a man sees a cat",3,1,1,"(0, 4)",1
"the cat chases a woman",0,4,4,"(0, 1)",1
"the cat chases a woman",1,3,3,"(3, 4)",1
"the cat chases a woman",2,2,2,"(0, 2)",1
"the cat chases a woman",3,1,1,"(0, 4)",1
"a dog runs",0,2,2,"(0, 1)",1
"a dog runs",1,1,1,"(0, 2)",1
"the cat sees the woman",0,4,4,"(3, 4)",1
"the cat sees the woman",1,3,3,"(3, 4)",1
"the cat sees the woman",2,2,2,"(0, 2)",1
"the cat sees the woman",3,1,1,"(0, 4)",1
"the woman runs a man",0,4,4,"(3, 4)",1
"the woman runs a man",1,3,3,"(3, 4)",1
"the woman runs a man",2,2,2,"(0, 2)",1
"the woman runs a man",3,1,1,"(0, 4)",1
"a man runs a cat",0,4,4,"(3, 4)",1
"a man runs a cat",1,3,3,"(3, 4)",1
"a man runs a cat",2,2,2,"(0, 2)",1
"a man runs a cat",3,1,1,"(0, 4)",1
"a man sees the dog",0,4,4,"(3, 4)",1
"a man sees the dog",1,3,3,"(3, 4)",1
"a man sees the dog",2,2,2,"(0, 2)",1
"a man sees the dog",3,1,1,"(0, 4)",1
"the dog sees a dog",0,4,4,"(3, 4)",1
"the dog sees a dog",1,3,3,"(3, 4)",1
"the dog sees a dog",2,2,2,"(0, 2)",1
"the dog sees a dog",3,1,1,"(0, 4)",1
"the cat sees a dog",0,4,4,"(3, 4)",1
"the cat sees a dog",1,3,3,"(3, 4)",1
"the cat sees a dog",2,2,2,"(0, 2)",1
"the cat sees a dog",3,1,1,"(0, 4)",1
"a dog chases",0,2,2,"(0, 1)",1
"a dog chases",1,1,1,"(0, 2)",1
"the man runs a woman",0,4,4,"(0, 1)",1
"the man runs a woman",1,3,3,"(3, 4)",1
"the man runs a woman",2,2,2,"(2, 4)",0
"the man runs a woman",3,1,1,"(0, 4)",1
"the dog likes",0,2,2,"(0, 1)",1
"the dog likes",1,1,1,"(0, 2)",1
"the dog likes the man",0,4,4,"(0, 1)",1
"the dog likes the man",1,3,3,"(3, 4)",1
"the dog likes the man",2,2,2,"(0, 2)",1
"the dog likes the man",3,1,1,"(0, 4)",1
"a dog likes the cat",0,4,4,"(0, 1)",1
"a dog likes the cat",1,3,3,"(3, 4)",1
"a dog likes the cat",2,2,2,"(0, 2)",1
"a dog likes the cat",3,1,1,"(0, 4)",1
"the woman runs",0,2,2,"(0, 1)",1
"the woman runs",1,1,1,"(0, 2)",1
"the man chases a dog",0,4,4,"(3, 4)",1
"the man chases a dog",1,3,3,"(3, 4)",1
"the man chases a dog",2,2,2,"(0, 2)",1
"the man chases a dog",3,1,1,"(0, 4)",1
"the man sees the woman",0,4,4,"(3, 4)",1
"the man sees the woman",1,3,3,"(3, 4)",1
"the man sees the woman",2,2,2,"(0, 2)",1
"the man sees the woman",3,1,1,"(0, 4)",1
"a man chases the cat",0,4,4,"(0, 1)",1
"a man chases the cat",1,3,3,"(3, 4)",1
"a man chases the cat",2,2,2,"(0, 2)",1
"a man chases the cat",3,1,1,"(0, 4)",1
"the cat chases the woman",0,4,4,"(3, 4)",1
"the cat chases the woman",1,3,3,"(3, 4)",1
"the cat chases the woman",2,2,2,"(0, 2)",1
"the cat chases the woman",3,1,1,"(0, 4)",1
"a cat sees the woman",0,4,4,"(0, 1)",1
"a cat sees the woman",1,3,3,"(3, 4)",1
"a cat sees the woman",2,2,2,"(0, 2)",1
"a cat sees the woman",3,1,1,"(0, 4)",1
"the woman chases the dog",0,4,4,"(0, 1)",1
"the woman chases the dog",1,3,3,"(3, 4)",1
"the woman chases the dog",2,2,2,"(0, 2)",1
"the woman chases the dog",3,1,1,"(0, 4)",1
"a cat chases a man",0,4,4,"(3, 4)",1
"a cat chases a man",1,3,3,"(3, 4)",1
"a cat chases a man",2,2,2,"(0, 2)",1
"a cat chases a man",3,1,1,"(0, 4)",1
"a dog chases a cat",0,4,4,"(0, 1)",1
"a dog chases a cat",1,3,3,"(3, 4)",1
"a dog chases a cat",2,2,2,"(0, 2)",1
"a dog chases a cat",3,1,1,"(0, 4)",1
"the woman runs a woman",0,4,4,"(0, 1)",1
"the woman runs a woman",1,3,3,"(3, 4)",1
"the woman runs a woman",2,2,2,"(0, 2)",1
"the woman runs a woman",3,1,1,"(0, 4)",1
"the woman runs the dog",0,4,4,"(3, 4)",1
"the woman runs the dog",1,3,3,"(3, 4)",1
"the woman runs the dog",2,2,2,"(0, 2)",1
"the woman runs the dog",3,1,1,"(0, 4)",1
