sentence,step,n_pairs,n_admitted,top_span,is_gold
"a big big man found",0,4,4,"(3, 4)",0
"a big big man found",1,3,3,"(1, 3)",1
"a big big man found",2,2,2,"(0, 3)",1
"a big big man found",3,1,1,"(0, 4)",1
"the park chased a woman",0,4,4,"(3, 4)",1
"the park chased a woman",1,3,3,"(3, 4)",1
"the park chased a woman",2,2,2,"(2, 4)",0
"the park chased a woman",3,1,1,"(0, 4)",1
"a small lazy man chased",0,4,4,"(1, 2)",1
"a small lazy man chased",1,3,3,"(1, 3)",1
"a small lazy man chased",2,2,2,"(0, 3)",1
"a small lazy man chased",3,1,1,"(0, 4)",1
"the park chased a lazy small dog in a dog",0,9,9,"(8, 9)",1
"the park chased a lazy small dog in a dog",1,8,8,"(8, 9)",1
"the park chased a lazy small dog in a dog",2,7,7,"(8, 9)",1
"the park chased a lazy small dog in a dog",3,6,6,"(8, 9)",1
"the park chased a lazy small dog in a dog",4,5,5,"(8, 9)",1
"the park chased a lazy small dog in a dog",5,4,4,"(7, 9)",1
"the park chased a lazy small dog in a dog",6,3,3,"(0, 2)",1
"the park chased a lazy small dog in a dog",7,2,2,"(0, 6)",1
"the park chased a lazy small dog in a dog",8,1,1,"(0, 9)",1
"the telescope liked the telescope under the woman",0,7,7,"(6, 7)",1
"the telescope liked the telescope under the woman",1,6,6,"(6, 7)",1
"the telescope liked the telescope under the woman",2,5,5,"(6, 7)",1
"the telescope liked the telescope under the woman",3,4,4,"(0, 2)",1
"the telescope liked the telescope under the woman",4,3,3,"(0, 2)",1
"the telescope liked the telescope under the woman",5,2,2,"(0, 4)",1
"the telescope liked the telescope under the woman",6,1,1,"(0, 7)",1
"the lazy big cat chased",0,4,4,"(1, 2)",1
"the lazy big cat chased",1,3,3,"(1, 3)",1
"the lazy big cat chased",2,2,2,"(1, 4)",0
"the lazy big cat chased",3,1,1,"(0, 4)",1
"the red small quick small park saw",0,6,6,"(1, 2)",0
"the red small quick small park saw",1,5,5,"(1, 2)",0
"the red small quick small park saw",2,4,4,"(0, 1)",0
"the red small quick small park saw",3,3,3,"(1, 5)",1
"the red small quick small park saw",4,2,2,"(1, 6)",0
"the red small quick small park saw",5,1,1,"(0, 6)",1
"the big big telescope found the telescope",0,6,6,"(5, 6)",1
"the big big telescope found the telescope",1,5,5,"(5, 6)",1
"the big big telescope found the telescope",2,4,4,"(5, 6)",1
"the big big telescope found the telescope",3,3,3,"(5, 6)",1
"the big big telescope found the telescope",4,2,2,"(0, 4)",1
"the big big telescope found the telescope",5,1,1,"(0, 6)",1
"a park found the dog",0,4,4,"(3, 4)",1
"a park found the dog",1,3,3,"(3, 4)",1
"a park found the dog",2,2,2,"(0, 2)",1
"a park found the dog",3,1,1,"(0, 4)",1
"a red red man found",0,4,4,"(1, 2)",1
"a red red man found",1,3,3,"(1, 3)",1
"a red red man found",2,2,2,"(0, 3)",1
"a red red man found",3,1,1,"(0, 4)",1
"the park chased the red small park",0,6,6,"(0, 1)",1
"the park chased the red small park",1,5,5,"(0, 2)",1
"the park chased the red small park",2,4,4,"(0, 2)",1
"the park chased the red small park",3,3,3,"(0, 2)",1
"the park chased the red small park",4,2,2,"(0, 2)",1
"the park chased the red small park",5,1,1,"(0, 6)",1
"the woman liked a lazy lazy telescope",0,6,6,"(1, 2)",0
"the woman liked a lazy lazy telescope",1,5,5,"(0, 2)",1
"the woman liked a lazy lazy telescope",2,4,4,"(0, 2)",1
"the woman liked a lazy lazy telescope",3,3,3,"(0, 2)",1
"the woman liked a lazy lazy telescope",4,2,2,"(0, 2)",1
"the woman liked a lazy lazy telescope",5,1,1,"(0, 6)",1
"a quick red dog liked the small red telescope",0,8,8,"(6, 7)",1
"a quick red dog liked the small red telescope",1,7,7,"(6, 7)",1
"a quick red dog liked the small red telescope",2,6,6,"(6, 7)",1
"a quick red dog liked the small red telescope",3,5,5,"(6, 7)",1
"a quick red dog liked the small red telescope",4,4,4,"(0, 4)",1
"a quick red dog liked the small red telescope",5,3,3,"(0, 4)",1
"a quick red dog liked the small red telescope",6,2,2,"(0, 4)",1
"a quick red dog liked the small red telescope",7,1,1,"(0, 8)",1
"the small lazy park found a telescope with the park",0,9,9,"(8, 9)",1
"the small lazy park found a telescope with the park",1,8,8,"(8, 9)",1
"the small lazy park found a telescope with the park",2,7,7,"(8, 9)",1
"the small lazy park found a telescope with the park",3,6,6,"(8, 9)",1
"the small lazy park found a telescope with the park",4,5,5,"(8, 9)",1
"the small lazy park found a telescope with the park",5,4,4,"(7, 9)",1
"the small lazy park found a telescope with the park",6,3,3,"(0, 4)",1
"the small lazy park found a telescope with the park",7,2,2,"(0, 6)",1
"the small lazy park found a telescope with the park",8,1,1,"(0, 9)",1
