sentence,gold_brackets,pred_brackets,tp,fp,fn
"the big quick big quick quick woman liked","[(0, 6), (0, 7), (1, 5), (1, 6), (2, 5), (3, 5), (4, 5)]","[(0, 7), (1, 2), (1, 5), (1, 7), (3, 5), (4, 5), (6, 7)]",4,3,3
"the lazy lazy woman found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a big big man found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the park chased a woman","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a small lazy man chased","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the park chased a lazy small dog in a dog","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"the telescope liked the telescope under the woman","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"the lazy big cat chased","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 4), (1, 2), (1, 3), (1, 4)]",3,1,1
"the red small quick small park saw","[(0, 5), (0, 6), (1, 4), (1, 5), (2, 4), (3, 4)]","[(0, 2), (0, 4), (0, 6), (1, 2), (3, 4), (5, 6)]",2,4,4
"the big big telescope found the telescope","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a park found the dog","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a red red man found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the park chased the red small park","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the woman liked a lazy lazy telescope","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a quick red dog liked the small red telescope","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"the small lazy park found a telescope with the park","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]",9,0,0
