sentence,gold_brackets,pred_brackets,tp,fp,fn
"this apple carried near the teacher","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a girl saw near the book","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"that ancient blue boy saw a ancient friendly book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 8), (1, 2), (1, 3), (4, 8), (5, 7), (5, 8), (6, 7)]",6,2,2
"the ancient curious robot liked this teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 2), (0, 3), (0, 6), (1, 2), (4, 6), (5, 6)]",4,2,2
"the apple carried this tall curious teacher","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"this girl read a friendly friendly friendly apple","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",6,1,1
"this curious curious girl liked near a boy","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"this blue blue girl liked without that girl","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]",7,0,0
"that book liked with the boy","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the apple read this girl near the robot","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"this tall tall boy saw the blue blue girl","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]",8,0,0
"that tall friendly boy chased that tall curious book","[(0, 3), (0, 4), (0, 8), (1, 2), (1, 3), (5, 8), (6, 7), (6, 8)]","[(0, 3), (0, 4), (0, 5), (0, 8), (1, 2), (1, 3), (6, 7), (6, 8)]",7,1,1
"the girl carried this ancient blue robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a book chased with the girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 5), (2, 5), (3, 5), (4, 5)]",4,1,1
"the ancient ancient robot chased this friendly friendly ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 9), (1, 2), (1, 3), (4, 9), (5, 9), (6, 9), (7, 8), (7, 9)]",7,2,2
"that apple read a book with this robot","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a girl carried the blue blue robot near the robot","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 9), (3, 6), (3, 9), (4, 5), (4, 6), (7, 9), (8, 9)]",8,1,1
"this girl read this friendly curious girl with this boy","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 5), (3, 6), (4, 5), (7, 9), (8, 9)]",8,1,1
"the teacher read this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"this tall tall robot carried near the blue ancient robot","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"a friendly blue apple admired this boy","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 6), (1, 2), (1, 3), (4, 6), (5, 6)]",5,1,1
"this tall blue robot liked a robot","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 6), (1, 2), (1, 3), (4, 6), (5, 6)]",5,1,1
"that robot carried this curious friendly curious boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]",7,0,0
"a curious curious tall boy admired that friendly ancient girl","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 4), (0, 9), (2, 3), (2, 4), (5, 9), (6, 9), (7, 8), (7, 9)]",6,3,3
"the robot admired this robot with the apple","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"this boy chased near a apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the curious curious teacher saw the girl without that book","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 6), (0, 9), (1, 2), (1, 3), (4, 6), (5, 6), (7, 9), (8, 9)]",8,1,1
"this book saw this friendly tall girl","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 5), (3, 6), (4, 5)]",5,1,1
"the book liked with this teacher","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the teacher liked with that blue curious boy","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 7), (5, 6), (5, 7)]",7,0,0
"a book chased a book with the book","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"the robot liked near a girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"the boy liked the friendly ancient girl","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 6), (2, 6), (3, 5), (3, 6), (4, 5)]",4,2,2
"a ancient tall teacher chased without that friendly blue boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"the book carried the book near that tall blue apple","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 2), (0, 4), (0, 8), (0, 9), (3, 4), (5, 8), (6, 8), (7, 8)]",6,3,3
"a blue curious boy liked a blue friendly friendly apple","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 2), (0, 3), (0, 4), (0, 9), (1, 2), (5, 9), (6, 8), (6, 9), (7, 8)]",8,1,1
"that book carried this tall friendly tall robot","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 6), (0, 7), (3, 6), (4, 5), (4, 6)]",4,3,3
"the teacher saw this curious tall apple","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 6), (2, 6), (3, 6), (4, 5), (4, 6)]",5,1,1
"that robot chased with a apple which liked that book","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 3), (8, 9)]",3,1,6
"that apple liked this blue curious curious friendly robot","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 3), (0, 8), (4, 5), (4, 8), (6, 7), (6, 8)]",5,3,3
"a teacher admired the book with a tall blue book","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 1), (0, 2), (0, 4), (0, 9), (3, 4), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"a boy carried a ancient ancient apple without a robot","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 9), (3, 6), (3, 9), (4, 5), (4, 6), (7, 9), (8, 9)]",8,1,1
"this boy admired the book who admired near the girl","[(0, 1), (0, 2), (0, 9), (3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9)]","[(0, 1), (0, 4), (2, 4), (3, 4), (7, 9), (8, 9)]",3,3,6
"that boy admired near this girl","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 5), (2, 5), (3, 5), (4, 5)]",4,1,1
"that book admired the robot","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 4), (2, 4), (3, 4)]",3,1,1
"a apple saw the ancient tall robot without that apple","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 9), (2, 6), (2, 9), (3, 5), (3, 6), (4, 5), (7, 9), (8, 9)]",6,3,3
"this tall tall girl read with that blue ancient girl","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 9), (1, 2), (1, 3), (4, 9), (5, 8), (5, 9), (6, 8), (7, 8)]",6,3,3
"this teacher liked this robot","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 4), (2, 4), (3, 4)]",3,1,1
"that friendly tall book admired near this apple","[(0, 3), (0, 4), (0, 7), (1, 2), (1, 3), (5, 7), (6, 7)]","[(0, 3), (0, 7), (1, 2), (1, 3), (4, 7), (5, 7), (6, 7)]",6,1,1
"that apple admired near this apple","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"this robot liked without this teacher","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]","[(0, 1), (0, 2), (0, 5), (3, 5), (4, 5)]",5,0,0
"a teacher admired a friendly friendly robot","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 6), (2, 6), (3, 5), (3, 6), (4, 5)]",4,2,2
"that apple chased a blue tall girl","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 5), (0, 6), (3, 5), (4, 5)]",4,2,2
"the tall curious teacher admired near a curious curious boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
"that girl saw that tall friendly tall apple","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 6), (4, 7), (5, 6)]","[(0, 1), (0, 2), (0, 7), (3, 7), (4, 5), (4, 7), (6, 7)]",5,2,2
"the tall ancient teacher saw the blue curious ancient boy","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 9), (1, 2), (1, 3), (4, 9), (5, 8), (5, 9), (6, 7), (6, 8)]",6,3,3
"this tall curious girl admired that teacher","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a apple read this boy","[(0, 1), (0, 2), (0, 4), (3, 4)]","[(0, 1), (0, 2), (0, 4), (3, 4)]",4,0,0
"a blue tall apple chased with a curious curious book","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 9), (7, 8), (7, 9)]",9,0,0
